0 0.1
0 3.6
0 7.1
0 10.6
0 14.1
0 17.6
0 21.1
0 24.6
0 28.1
0 31.6
0 35.1
0 38.6
0 42.1
0 45.6
0 49.1
3.5 0.1
3.5 3.6
3.5 7.1
3.5 10.6
3.5 14.1
3.5 17.6
3.5 21.1
3.5 24.6
3.5 28.1
3.5 31.6
3.5 35.1
3.5 38.6
3.5 42.1
3.5 45.6
3.5 49.1
7 0.1
7 3.6
7 7.1
7 10.6
7 14.1
7 17.6
7 21.1
7 24.6
7 28.1
7 31.6
7 35.1
7 38.6
7 42.1
7 45.6
7 49.1
10.5 0.1
10.5 3.6
10.5 7.1
10.5 10.6
10.5 14.1
10.5 17.6
10.5 21.1
10.5 24.6
10.5 28.1
10.5 31.6
10.5 35.1
10.5 38.6
10.5 42.1
10.5 45.6
10.5 49.1
14 0.1
14 3.6
14 7.1
14 10.6
14 14.1
14 17.6
14 21.1
14 24.6
14 28.1
14 31.6
14 35.1
14 38.6
14 42.1
14 45.6
14 49.1
17.5 0.1
17.5 3.6
17.5 7.1
17.5 10.6
17.5 14.1
17.5 17.6
17.5 21.1
17.5 24.6
17.5 28.1
17.5 31.6
17.5 35.1
17.5 38.6
17.5 42.1
17.5 45.6
17.5 49.1
21 0.1
21 3.6
21 7.1
21 10.6
21 14.1
21 17.6
21 21.1
21 24.6
21 28.1
21 31.6
21 35.1
21 38.6
21 42.1
21 45.6
21 49.1
24.5 0.1
24.5 3.6
24.5 7.1
24.5 10.6
24.5 14.1
24.5 17.6
24.5 21.1
24.5 24.6
24.5 28.1
24.5 31.6
24.5 35.1
24.5 38.6
24.5 42.1
24.5 45.6
24.5 49.1
28 0.1
28 3.6
28 7.1
28 10.6
28 14.1
28 17.6
28 21.1
28 24.6
28 28.1
28 31.6
28 35.1
28 38.6
28 42.1
28 45.6
28 49.1
31.5 0.1
31.5 3.6
31.5 7.1
31.5 10.6
31.5 14.1
31.5 17.6
31.5 21.1
31.5 24.6
31.5 28.1
31.5 31.6
31.5 35.1
31.5 38.6
31.5 42.1
31.5 45.6
31.5 49.1
35 0.1
35 3.6
35 7.1
35 10.6
35 14.1
35 17.6
35 21.1
35 24.6
35 28.1
35 31.6
35 35.1
35 38.6
35 42.1
35 45.6
35 49.1
38.5 0.1
38.5 3.6
38.5 7.1
38.5 10.6
38.5 14.1
38.5 17.6
38.5 21.1
38.5 24.6
38.5 28.1
38.5 31.6
38.5 35.1
38.5 38.6
38.5 42.1
38.5 45.6
38.5 49.1
42 0.1
42 3.6
42 7.1
42 10.6
42 14.1
42 17.6
42 21.1
42 24.6
42 28.1
42 31.6
42 35.1
42 38.6
42 42.1
42 45.6
42 49.1
45.5 0.1
45.5 3.6
45.5 7.1
45.5 10.6
45.5 14.1
